"id","code","food_group_id","description"
"197","2901","15","SEAFOOD, FROG, TURTLE, BKD, WO/DRIP"
"198","2902","15","SEAFOOD, FROG, TURTLE, CKD, W/DRIP"
"199","2905","15","SEAFOOD, FROG, TURTLE, SIMM, WO/DRIP"
"200","2906","15","SEAFOOD, FROG, TURTLE, SIMRD, W/DRIP"
"201","2907","15","SEAFOOD, FROG, TURTLE, BRSD, WO/DRIP"
"202","2908","15","SEAFOOD, FROG, TURTLE, BRAIS, W/DRIP"
"203","2909","15","SEAFOOD, FROG, TURTLE, BRLD, WO/DRIP"
"204","2910","15","SEAFOOD, FROG, TURTLE, BRLD, W/DRIP"
"205","2911","15","SEAFOOD, FROG, TURTLE, FRYD, WO/COAT"
"206","2912","15","SEAFOOD, FROG, TURTLE, FRIED, W/COAT"
"207","2917","15","SEAFOOD, FROG, TURTLE, REHEATED"
"208","3001","11","VEG, GREENS, BAKED"
"209","3004","11","VEG, GREENS, BOILD, LITTLE WATER DRAIN"
"210","3005","11","VEG, GREENS, BOILED, WATER COVER DRAIN"
"211","3006","11","VEG, GREENS, BOILED, WATER USED"
"212","3015","11","VEG, GREENS, STIR FRY"
"213","3018","11","VEG, GREENS, REHEATED"
"214","3019","11","VEG, GREENS, COOKED FROM FROZEN, DRAIN"
"215","3301","11","POTATOES, BAKED IN SKIN"
"216","3302","11","POTATOES, BAKED IN CASSEROLE"
"217","3307","11","POTATOES, BOILED IN SKIN"
"218","3308","11","POTATOES, BOILED(PARED)DRAIN"
"219","3309","11","POTATOES, BOILED(PARED) WATER USED"
"220","3310","11","POTATOES, BOILED, BROWNED"
"221","3311","11","POTATOES, BOILED, STORED, BROWNED"
"222","3315","11","POTATOES, FRIED"
"223","3316","11","POTATOES, MASHED"
"224","3371","11","POTATOES, CANNED, BOILED, WATER USED"
"225","3373","11","POTATOES, CANNED, BROILED"
"226","3375","11","POTATOES, CANNED, FRIED"
"227","3379","11","POTATOES, REHEATED"
"228","3380","11","POTATOES, CKD FROM FRZN, HASH BROWN"
"229","3381","11","POTATOES, CKD FROM FRZN, FRENCH FRY"
"230","3382","11","POTATOES, CKD FROM FRZN, BAKED STUFFD"
"231","3451","11","VEG, ROOTS, ETC, BAKED"
"232","3454","11","VEG, ROOTS, ETC, BLD, DRAIND, LITTLE WTR"
"233","3455","11","VEG, ROOTS, ETC, BLD, DRAIND, WTR COVER"
"234","3456","11","VEG, ROOTS, ETC, BOILED, WATER USED"
"235","3460","11","VEG, ROOTS, ETC, SAUTEED"
"236","3464","11","VEG, ROOTS, ETC, STEAMED"
"237","3465","11","VEG, ROOTS, ETC, STIR FRY"
"238","3468","11","VEG, ROOTS, ETC, REHEATED"
"239","3469","11","VEG, ROOTS, ETC, CKD FROM FRZN, DRAINED"
"240","3701","11","SWEETPOTAOTES, BAKED IN SKIN"
"241","3702","11","SWEETPOTATOES,  BAKED IN CASSEROLE"
"242","3707","11","SWEETPOTATOES, BOILED IN SKIN"
"243","3708","11","SWEETPOTATOES, BOILED (PARED)DRAINED"
"244","3709","11","SWEETPOTATOES, BLD(PARED)WATER USED"
"245","3710","11","SWEETPOTATOES, FRIED"
"246","3711","11","SWEETPOTATOES, REHEATED"
"247","3712","11","SWEETPOTATOES, CKD FROM FRN, BAKED"
"248","3713","11","SWEETPOTATOES, CKD FROM FRZN, BOILED"
"249","3751","11","TOMATOES, BOILED/BAKED"
"250","3752","11","TOMATOES, FRIED/BROILED"
"251","3754","11","TOMATOES, REHEATED"
"252","3771","11","VEG, OTHER, BAKED"
"253","3774","11","VEG, OTHER, BLD, LITTLE WATER, DRAINED"
"254","3775","11","VEG, OTHER, BLD, WATER COVER, DRAINED"
"255","3776","11","VEG, OTHER, BLD, WATER USED"
"256","3780","11","VEG, OTHER, FRIED"
"257","3784","11","VEG, OTHER, STEAMED"
"258","3785","11","VEG, OTHER, STIR FRY"
"259","3788","11","VEG, OTHER, REHEATED"
"260","3789","11","VEG, OTHER, CKD FROM FRZN(BLD, DRAIND)"
"261","5001","14","ALC BEV, NO HEAT, STORED OVERNIGHT"
"262","5002","14","ALC BEV, STIRRED INTO HOT LIQ"
"263","5003","14","ALC BEV, FLAMED"
"264","5004","14","ALC BEV, STIRRED, BKD/SIMMRD 15 MIN"
"265","5005","14","ALC BEV, STIRRED, BKD/SIMMRD 30 MIN"
"266","5006","14","ALC BEV, STIRRED, BKD/SIMMRD 1 HR"
"267","5007","14","ALC BEV, STIRRED, BKD/SIMMRD 1.5 HR"
"268","5008","14","ALC BEV, STIRRED, BKD/SIMMRD 2 HR"
"269","5009","14","ALC BEV, STIRRED, BKD/SIMMRD 2.5 HR"
"270","5010","14","ALC BEV, NOT STIRRED IN, BKD 25 MIN"
