"fdc_id","data_type","description","food_category_id","publication_date"
"1097541","survey_fndds_food","Non-dairy milk, NFS","","2020-10-30"
"1097542","survey_fndds_food","Soy milk","","2020-10-30"
"1097543","survey_fndds_food","Soy milk, light","","2020-10-30"
"1097544","survey_fndds_food","Soy milk, nonfat","","2020-10-30"
"1097545","survey_fndds_food","Soy milk, chocolate","","2020-10-30"
"1097546","survey_fndds_food","Soy milk, light, chocolate","","2020-10-30"
"1097547","survey_fndds_food","Soy milk, nonfat, chocolate","","2020-10-30"
"1097548","survey_fndds_food","Almond milk, sweetened","","2020-10-30"
"1097549","survey_fndds_food","Almond milk, sweetened, chocolate","","2020-10-30"
"1097550","survey_fndds_food","Almond milk, unsweetened","","2020-10-30"
"1097551","survey_fndds_food","Almond milk, unsweetened, chocolate","","2020-10-30"
"1097552","survey_fndds_food","Rice milk","","2020-10-30"
"1097553","survey_fndds_food","Coconut milk","","2020-10-30"
"1097554","survey_fndds_food","Yogurt, NFS","","2020-10-30"
"1097555","survey_fndds_food","Yogurt, Greek, NS as to type of milk or flavor","","2020-10-30"
"1097556","survey_fndds_food","Yogurt, NS as to type of milk or flavor","","2020-10-30"
"1097557","survey_fndds_food","Yogurt, NS as to type of milk, plain","","2020-10-30"
"1097558","survey_fndds_food","Yogurt, whole milk, plain","","2020-10-30"
"1097559","survey_fndds_food","Yogurt, low fat milk, plain","","2020-10-30"
"1097560","survey_fndds_food","Yogurt, nonfat milk, plain","","2020-10-30"
"1097561","survey_fndds_food","Yogurt, Greek, NS as to type of milk, plain","","2020-10-30"
"1097562","survey_fndds_food","Yogurt, Greek, whole milk, plain","","2020-10-30"
"1097563","survey_fndds_food","Yogurt, Greek, low fat milk, plain","","2020-10-30"
"1097564","survey_fndds_food","Yogurt, Greek, nonfat milk, plain","","2020-10-30"
"1097565","survey_fndds_food","Yogurt, NS as to type of milk, fruit","","2020-10-30"
"1097566","survey_fndds_food","Yogurt, whole milk, fruit","","2020-10-30"
"1097567","survey_fndds_food","Yogurt, low fat milk, fruit","","2020-10-30"
"1097568","survey_fndds_food","Yogurt, nonfat milk, fruit","","2020-10-30"
"1097569","survey_fndds_food","Yogurt, Greek, NS as to type of milk, fruit","","2020-10-30"
"1097570","survey_fndds_food","Yogurt, Greek, whole milk, fruit","","2020-10-30"
"1097571","survey_fndds_food","Yogurt, Greek, low fat milk, fruit","","2020-10-30"
"1097572","survey_fndds_food","Yogurt, Greek, nonfat milk, fruit","","2020-10-30"
"1097573","survey_fndds_food","Yogurt, NS as to type of milk, flavors other than fruit","","2020-10-30"
"1097574","survey_fndds_food","Yogurt, whole milk, flavors other than fruit","","2020-10-30"
"1097575","survey_fndds_food","Yogurt, low fat milk, flavors other than fruit","","2020-10-30"
"1097576","survey_fndds_food","Yogurt, nonfat milk, flavors other than fruit","","2020-10-30"
"1097577","survey_fndds_food","Yogurt, Greek, NS as to type of milk, flavors other than fruit","","2020-10-30"
"1097578","survey_fndds_food","Yogurt, Greek, whole milk, flavors other than fruit","","2020-10-30"
"1097579","survey_fndds_food","Yogurt, Greek, low fat milk, flavors other than fruit","","2020-10-30"
"1097580","survey_fndds_food","Yogurt, Greek, nonfat milk, flavors other than fruit","","2020-10-30"
"1097581","survey_fndds_food","Yogurt, Greek, with oats","","2020-10-30"
"1097582","survey_fndds_food","Yogurt, liquid","","2020-10-30"
"1097583","survey_fndds_food","Chipotle dip, yogurt based","","2020-10-30"
"1097584","survey_fndds_food","Dill dip, yogurt based","","2020-10-30"
"1097585","survey_fndds_food","Onion dip, yogurt based","","2020-10-30"
"1097586","survey_fndds_food","Ranch dip, yogurt based","","2020-10-30"
"1097587","survey_fndds_food","Spinach dip, yogurt based","","2020-10-30"
"1097588","survey_fndds_food","Tzatziki dip","","2020-10-30"
"1097589","survey_fndds_food","Vegetable dip, yogurt based","","2020-10-30"
"1097590","survey_fndds_food","Yogurt parfait, low fat, with fruit","","2020-10-30"
"1097591","survey_fndds_food","Frozen yogurt, NFS","","2020-10-30"
"1097592","survey_fndds_food","Frozen yogurt, vanilla","","2020-10-30"
"1097593","survey_fndds_food","Frozen yogurt, chocolate","","2020-10-30"
"1097594","survey_fndds_food","Frozen yogurt, soft serve, vanilla","","2020-10-30"
"1097595","survey_fndds_food","Frozen yogurt, soft serve, chocolate","","2020-10-30"
"1097596","survey_fndds_food","Frozen yogurt sandwich","","2020-10-30"
"1097597","survey_fndds_food","Frozen yogurt bar, vanilla","","2020-10-30"
"1097598","survey_fndds_food","Frozen yogurt bar, chocolate","","2020-10-30"
"1097599","survey_fndds_food","Frozen yogurt cone, chocolate","","2020-10-30"
"1097600","survey_fndds_food","Frozen yogurt cone, vanilla","","2020-10-30"
"1097601","survey_fndds_food","Frozen yogurt cone, vanilla, waffle cone","","2020-10-30"
"1097602","survey_fndds_food","Frozen yogurt cone, chocolate, waffle cone","","2020-10-30"
"1097603","survey_fndds_food","Yogurt, whole milk, baby food","","2020-10-30"
"1097604","survey_fndds_food","Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS","","2020-10-30"
"1097605","survey_fndds_food","Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron","","2020-10-30"
"1097606","survey_fndds_food","Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA","","2020-10-30"
"1097607","survey_fndds_food","Chocolate milk, NFS","","2020-10-30"
"1097608","survey_fndds_food","Chocolate milk, ready to drink, whole","","2020-10-30"
"1097609","survey_fndds_food","Chocolate milk, ready to drink, reduced fat","","2020-10-30"
"1097610","survey_fndds_food","Chocolate milk, ready to drink, fat free","","2020-10-30"
"1097611","survey_fndds_food","Chocolate milk, ready to drink, low fat","","2020-10-30"
"1097612","survey_fndds_food","Chocolate milk, ready to drink, reduced sugar, NS as to milk","","2020-10-30"
"1097613","survey_fndds_food","Chocolate milk, ready to drink, low fat (Nesquik)","","2020-10-30"
"1097614","survey_fndds_food","Chocolate milk, ready to drink, fat free (Nesquik)","","2020-10-30"
"1097615","survey_fndds_food","Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)","","2020-10-30"
"1097616","survey_fndds_food","Hot chocolate / Cocoa, ready to drink","","2020-10-30"
"1097617","survey_fndds_food","Hot chocolate / Cocoa, ready to drink, made with nonfat milk","","2020-10-30"
"1097618","survey_fndds_food","Hot chocolate / Cocoa, ready to drink, made with non-dairy milk","","2020-10-30"
"1097619","survey_fndds_food","Hot chocolate / Cocoa, ready to drink, with whipped cream","","2020-10-30"
"1097620","survey_fndds_food","Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream","","2020-10-30"
"1097621","survey_fndds_food","Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream","","2020-10-30"
"1097622","survey_fndds_food","Chocolate milk, made from dry mix, NS as to type of milk","","2020-10-30"
"1097623","survey_fndds_food","Chocolate milk, made from dry mix with whole milk","","2020-10-30"
"1097624","survey_fndds_food","Chocolate milk, made from dry mix with reduced fat milk","","2020-10-30"
"1097625","survey_fndds_food","Chocolate milk, made from dry mix with low fat milk","","2020-10-30"
"1097626","survey_fndds_food","Chocolate milk, made from dry mix with fat free milk","","2020-10-30"
"1097627","survey_fndds_food","Chocolate milk, made from dry mix with non-dairy milk","","2020-10-30"
"1097628","survey_fndds_food","Chocolate milk, made from reduced sugar mix, NS as to type of milk","","2020-10-30"
"1097629","survey_fndds_food","Chocolate milk, made from reduced sugar mix with whole milk","","2020-10-30"
"1097630","survey_fndds_food","Chocolate milk, made from reduced sugar mix with reduced fat milk","","2020-10-30"
"1097631","survey_fndds_food","Chocolate milk, made from reduced sugar mix with low fat milk","","2020-10-30"
"1097632","survey_fndds_food","Chocolate milk, made from reduced sugar mix with fat free milk","","2020-10-30"
"1097633","survey_fndds_food","Chocolate milk, made from reduced sugar mix with non-dairy milk","","2020-10-30"
"1097634","survey_fndds_food","Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)","","2020-10-30"
"1097635","survey_fndds_food","Chocolate milk, made from dry mix with whole milk (Nesquik)","","2020-10-30"
"1097636","survey_fndds_food","Chocolate milk, made from dry mix with reduced fat milk (Nesquik)","","2020-10-30"
"1097637","survey_fndds_food","Chocolate milk, made from dry mix with low fat milk (Nesquik)","","2020-10-30"
"1097638","survey_fndds_food","Chocolate milk, made from dry mix with fat free milk (Nesquik)","","2020-10-30"
"1097639","survey_fndds_food","Chocolate milk, made from dry mix with non-dairy milk (Nesquik)","","2020-10-30"
"1097640","survey_fndds_food","Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)","","2020-10-30"
"1097641","survey_fndds_food","Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)","","2020-10-30"
"1097642","survey_fndds_food","Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)","","2020-10-30"
"1097643","survey_fndds_food","Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)","","2020-10-30"
"1097644","survey_fndds_food","Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)","","2020-10-30"
"1097645","survey_fndds_food","Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)","","2020-10-30"
"1097646","survey_fndds_food","Chocolate milk, made from syrup, NS as to type of milk","","2020-10-30"
"1097647","survey_fndds_food","Chocolate milk, made from syrup with whole milk","","2020-10-30"
"1097648","survey_fndds_food","Chocolate milk, made from syrup with reduced fat milk","","2020-10-30"
"1097649","survey_fndds_food","Chocolate milk, made from syrup with low fat milk","","2020-10-30"
"1097650","survey_fndds_food","Chocolate milk, made from syrup with fat free milk","","2020-10-30"
"1097651","survey_fndds_food","Chocolate milk, made from syrup with non-dairy milk","","2020-10-30"
"1097652","survey_fndds_food","Chocolate milk, made from light syrup, NS as to type of milk","","2020-10-30"
"1097653","survey_fndds_food","Chocolate milk, made from light syrup with whole milk","","2020-10-30"
"1097654","survey_fndds_food","Chocolate milk, made from light syrup with reduced fat milk","","2020-10-30"
"1097655","survey_fndds_food","Chocolate milk, made from light syrup with low fat milk","","2020-10-30"
"1097656","survey_fndds_food","Chocolate milk, made from light syrup with fat free milk","","2020-10-30"
"1097657","survey_fndds_food","Chocolate milk, made from light syrup with non-dairy milk","","2020-10-30"
"1097658","survey_fndds_food","Chocolate milk, made from sugar free syrup, NS as to type of milk ","","2020-10-30"
"1097659","survey_fndds_food","Chocolate milk, made from sugar free syrup with whole milk","","2020-10-30"
"1097660","survey_fndds_food","Chocolate milk, made from sugar free syrup with reduced fat milk","","2020-10-30"
"1097661","survey_fndds_food","Chocolate milk, made from sugar free syrup with low fat milk","","2020-10-30"
"1097662","survey_fndds_food","Chocolate milk, made from sugar free syrup with fat free milk","","2020-10-30"
"1097663","survey_fndds_food","Chocolate milk, made from sugar free syrup with non-dairy milk","","2020-10-30"
"1097664","survey_fndds_food","Hot chocolate / Cocoa, made with dry mix and water","","2020-10-30"
"1097665","survey_fndds_food","Hot chocolate / Cocoa, made with dry mix and whole milk","","2020-10-30"
"1097666","survey_fndds_food","Hot chocolate / Cocoa, made with dry mix and reduced fat milk","","2020-10-30"
"1097667","survey_fndds_food","Hot chocolate / Cocoa, made with dry mix and low fat milk","","2020-10-30"
"1097668","survey_fndds_food","Hot chocolate / Cocoa, made with dry mix and fat free milk","","2020-10-30"
"1097669","survey_fndds_food","Hot chocolate / Cocoa, made with dry mix and non-dairy milk","","2020-10-30"
"1097670","survey_fndds_food","Hot chocolate / Cocoa, made with no sugar added dry mix and water","","2020-10-30"
"1097671","survey_fndds_food","Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk","","2020-10-30"
"1097672","survey_fndds_food","Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk","","2020-10-30"
"1097673","survey_fndds_food","Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk","","2020-10-30"
"1097674","survey_fndds_food","Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk","","2020-10-30"
"1097675","survey_fndds_food","Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk","","2020-10-30"
"1097676","survey_fndds_food","Strawberry milk, NFS","","2020-10-30"
"1097677","survey_fndds_food","Strawberry milk, whole","","2020-10-30"
"1097678","survey_fndds_food","Strawberry milk, reduced fat","","2020-10-30"
"1097679","survey_fndds_food","Strawberry milk, low fat","","2020-10-30"
"1097680","survey_fndds_food","Strawberry milk, fat free","","2020-10-30"
"1097681","survey_fndds_food","Strawberry milk, reduced sugar","","2020-10-30"
"1097682","survey_fndds_food","Strawberry milk, non-dairy","","2020-10-30"
"1097683","survey_fndds_food","Milk, malted","","2020-10-30"
"1097684","survey_fndds_food","Eggnog","","2020-10-30"
"1097685","survey_fndds_food","Milk shake, home recipe, chocolate","","2020-10-30"
"1097686","survey_fndds_food","Milk shake, home recipe, flavors other than chocolate","","2020-10-30"
"1097687","survey_fndds_food","Milk shake, home recipe, chocolate, light","","2020-10-30"
"1097688","survey_fndds_food","Milk shake, home recipe, flavors other than chocolate, light","","2020-10-30"
"1097689","survey_fndds_food","Milk shake with malt","","2020-10-30"
"1097690","survey_fndds_food","Milk shake, fast food, chocolate","","2020-10-30"
"1097691","survey_fndds_food","Milk shake, fast food, flavors other than chocolate","","2020-10-30"
"1097692","survey_fndds_food","Milk shake, bottled, chocolate","","2020-10-30"
"1097693","survey_fndds_food","Milk shake, bottled, flavors other than chocolate","","2020-10-30"
"1097694","survey_fndds_food","Licuado or Batido","","2020-10-30"
"1097695","survey_fndds_food","Fruit smoothie, NFS","","2020-10-30"
"1097696","survey_fndds_food","Fruit smoothie, with whole fruit and dairy","","2020-10-30"
"1097697","survey_fndds_food","Fruit smoothie, with whole fruit and dairy, added protein","","2020-10-30"
"1097698","survey_fndds_food","Fruit smoothie juice drink, with dairy","","2020-10-30"
"1097699","survey_fndds_food","Chocolate milk drink","","2020-10-30"
"1097700","survey_fndds_food","Infant formula, NFS","","2020-10-30"
"1097701","survey_fndds_food","Infant formula, NS as to form (Similac Expert Care Alimentum)","","2020-10-30"
"1097702","survey_fndds_food","Infant formula, ready-to-feed (Similac Expert Care Alimentum)","","2020-10-30"
"1097703","survey_fndds_food","Infant formula, powder, made with water, NFS (Similac Expert Care Alimentum)","","2020-10-30"
"1097704","survey_fndds_food","Infant formula, powder, made with tap water (Similac Expert Care Alimentum)","","2020-10-30"
"1097705","survey_fndds_food","Infant formula, powder, made with plain bottled water (Similac Expert Care Alimentum)","","2020-10-30"
"1097706","survey_fndds_food","Infant formula, powder, made with baby water (Similac Expert Care Alimentum)","","2020-10-30"
"1097707","survey_fndds_food","Infant formula, NS as to form (Similac Advance)","","2020-10-30"
"1097708","survey_fndds_food","Infant formula, ready-to-feed (Similac Advance)","","2020-10-30"
"1097709","survey_fndds_food","Infant formula, liquid concentrate, made with water, NFS (Similac Advance)","","2020-10-30"
"1097710","survey_fndds_food","Infant formula, powder, made with water, NFS (Similac Advance)","","2020-10-30"
"1097711","survey_fndds_food","Infant formula, liquid concentrate, made with tap water (Similac Advance)","","2020-10-30"
"1097712","survey_fndds_food","Infant formula, liquid concentrate, made with plain bottled water (Similac Advance)","","2020-10-30"
"1097713","survey_fndds_food","Infant formula, liquid concentrate, made with baby water (Similac Advance)","","2020-10-30"
"1097714","survey_fndds_food","Infant formula, powder, made with tap water (Similac Advance)","","2020-10-30"
"1097715","survey_fndds_food","Infant formula, powder, made with plain bottled water (Similac Advance)","","2020-10-30"
"1097716","survey_fndds_food","Infant formula, powder, made with baby water (Similac Advance)","","2020-10-30"
"1097717","survey_fndds_food","Infant formula, NS as to form (Similac Advance Organic)","","2020-10-30"
"1097718","survey_fndds_food","Infant formula, ready-to-feed (Similac Advance Organic)","","2020-10-30"
"1097719","survey_fndds_food","Infant formula, powder, made with water, NFS (Similac Advance Organic)","","2020-10-30"
"1097720","survey_fndds_food","Infant formula, powder, made with tap water (Similac Advance Organic)","","2020-10-30"
"1097721","survey_fndds_food","Infant formula, powder, made with plain bottled water (Similac Advance Organic)","","2020-10-30"
"1097722","survey_fndds_food","Infant formula, powder, made with baby water (Similac Advance Organic)","","2020-10-30"
"1097723","survey_fndds_food","Infant formula, NS as to form (Similac Sensitive)","","2020-10-30"
"1097724","survey_fndds_food","Infant formula, ready-to-feed (Similac Sensitive)","","2020-10-30"
"1097725","survey_fndds_food","Infant formula, liquid concentrate, made with water, NFS (Similac Sensitive)","","2020-10-30"
"1097726","survey_fndds_food","Infant formula, powder, made with water, NFS (Similac Sensitive)","","2020-10-30"
"1097727","survey_fndds_food","Infant formula, liquid concentrate, made with tap water (Similac Sensitive)","","2020-10-30"
"1097728","survey_fndds_food","Infant formula, liquid concentrate, made with plain bottled water (Similac Sensitive)","","2020-10-30"
"1097729","survey_fndds_food","Infant formula, liquid concentrate, made with baby water (Similac Sensitive)","","2020-10-30"
"1097730","survey_fndds_food","Infant formula, powder, made with tap water (Similac Sensitive)","","2020-10-30"
"1097731","survey_fndds_food","Infant formula, powder, made with plain bottled water (Similac Sensitive)","","2020-10-30"
"1097732","survey_fndds_food","Infant formula, powder, made with baby water (Similac Sensitive)","","2020-10-30"
"1097733","survey_fndds_food","Infant formula, NS as to form (Similac for Spit-Up)","","2020-10-30"
"1097734","survey_fndds_food","Infant formula, ready-to-feed (Similac for Spit-Up)","","2020-10-30"
"1097735","survey_fndds_food","Infant formula, powder, made with water, NFS (Similac for Spit-Up)","","2020-10-30"
"1097736","survey_fndds_food","Infant formula, NS as to form (Similac Expert Care NeoSure)","","2020-10-30"
"1097737","survey_fndds_food","Infant formula, ready-to-feed (Similac Expert Care NeoSure)","","2020-10-30"
"1097738","survey_fndds_food","Infant formula, powder, made with water, NFS (Similac Expert Care NeoSure)","","2020-10-30"
"1097739","survey_fndds_food","Infant formula, powder, made with tap water (Similac Expert Care NeoSure)","","2020-10-30"
"1097740","survey_fndds_food","Infant formula, powder, made with plain bottled water (Similac Expert Care NeoSure)","","2020-10-30"
"1097741","survey_fndds_food","Infant formula, powder, made with baby water (Similac Expert Care NeoSure)","","2020-10-30"
"1097742","survey_fndds_food","Infant formula, NS as to form (Similac Go and Grow)","","2020-10-30"
"1097743","survey_fndds_food","Infant formula, powder, made with water, NFS (Similac Go and Grow)","","2020-10-30"
"1097744","survey_fndds_food","Infant formula, NS as to form (Enfamil Newborn)","","2020-10-30"
"1097745","survey_fndds_food","Infant formula, ready-to-feed (Enfamil Newborn)","","2020-10-30"
"1097746","survey_fndds_food","Infant formula, powder, made with water, NFS (Enfamil Newborn)","","2020-10-30"
"1097747","survey_fndds_food","Infant formula, powder, made with tap water (Enfamil Newborn)","","2020-10-30"
"1097748","survey_fndds_food","Infant formula, powder, made with plain bottled water (Enfamil Newborn)","","2020-10-30"
"1097749","survey_fndds_food","Infant formula, powder, made with baby water (Enfamil Newborn)","","2020-10-30"
"1097750","survey_fndds_food","Infant formula, NS as to form (Enfamil Infant)","","2020-10-30"
"1097751","survey_fndds_food","Infant formula, ready-to-feed (Enfamil Infant)","","2020-10-30"
"1097752","survey_fndds_food","Infant formula, liquid concentrate, made with water, NFS (Enfamil Infant)","","2020-10-30"
"1097753","survey_fndds_food","Infant formula, liquid concentrate, made with tap water (Enfamil Infant)","","2020-10-30"
"1097754","survey_fndds_food","Infant formula, liquid concentrate, made with plain bottled water (Enfamil Infant)","","2020-10-30"
"1097755","survey_fndds_food","Infant formula, liquid concentrate, made with baby water (Enfamil Infant)","","2020-10-30"
"1097756","survey_fndds_food","Infant formula, powder, made with water, NFS (Enfamil Infant)","","2020-10-30"
"1097757","survey_fndds_food","Infant formula, powder, made with tap water (Enfamil Infant)","","2020-10-30"
"1097758","survey_fndds_food","Infant formula, powder, made with plain bottled water (Enfamil Infant)","","2020-10-30"
"1097759","survey_fndds_food","Infant formula, powder, made with baby water (Enfamil Infant)","","2020-10-30"
"1097760","survey_fndds_food","Infant formula, NS as to form (Enfamil A.R.)","","2020-10-30"
"1097761","survey_fndds_food","Infant formula, ready-to-feed (Enfamil A.R.)","","2020-10-30"
"1097762","survey_fndds_food","Infant formula, powder, made with water, NFS (Enfamil A.R.)","","2020-10-30"
"1097763","survey_fndds_food","Infant formula, powder, made with tap water (Enfamil A.R.)","","2020-10-30"
"1097764","survey_fndds_food","Infant formula, NS as to form (Enfamil EnfaCare)","","2020-10-30"
"1097765","survey_fndds_food","Infant formula, ready-to-feed (Enfamil EnfaCare)","","2020-10-30"
"1097766","survey_fndds_food","Infant formula, powder, made with water, NFS (Enfamil EnfaCare)","","2020-10-30"
"1097767","survey_fndds_food","Infant formula, powder, made with plain bottled water (Enfamil A.R.)","","2020-10-30"
"1097768","survey_fndds_food","Infant formula, powder, made with baby water (Enfamil A.R.)","","2020-10-30"
"1097769","survey_fndds_food","Infant formula, NS as to form (Enfamil Gentlease)","","2020-10-30"
"1097770","survey_fndds_food","Infant formula, ready-to-feed (Enfamil Gentlease)","","2020-10-30"
"1097771","survey_fndds_food","Infant formula, powder, made with water, NFS (Enfamil Gentlease)","","2020-10-30"
"1097772","survey_fndds_food","Infant formula, powder, made with tap water (Enfamil EnfaCare)","","2020-10-30"
"1097773","survey_fndds_food","Infant formula, powder, made with plain bottled water (Enfamil EnfaCare)","","2020-10-30"
"1097774","survey_fndds_food","Infant formula, powder, made with baby water (Enfamil EnfaCare)","","2020-10-30"
"1097775","survey_fndds_food","Infant formula, powder, made with tap water (Enfamil Gentlease)","","2020-10-30"
"1097776","survey_fndds_food","Infant formula, powder, made with plain bottled water (Enfamil Gentlease)","","2020-10-30"
"1097777","survey_fndds_food","Infant formula, powder, made with baby water (Enfamil Gentlease)","","2020-10-30"
"1097778","survey_fndds_food","Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions)","","2020-10-30"
"1097779","survey_fndds_food","Infant formula, ready-to-feed (Enfamil Enfragrow Toddler Transitions)","","2020-10-30"
"1097780","survey_fndds_food","Infant formula, powder, made with water, NFS (Enfamil Enfragrow Toddler Transitions)","","2020-10-30"
"1097781","survey_fndds_food","Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions)","","2020-10-30"
"1097782","survey_fndds_food","Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions)","","2020-10-30"
"1097783","survey_fndds_food","Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions)","","2020-10-30"
"1097784","survey_fndds_food","Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Gentlease)","","2020-10-30"
"1097785","survey_fndds_food","Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Gentlease)","","2020-10-30"
"1097786","survey_fndds_food","Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions Gentlease)","","2020-10-30"
"1097787","survey_fndds_food","Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions Gentlease)","","2020-10-30"
"1097788","survey_fndds_food","Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions Gentlease)","","2020-10-30"
"1097789","survey_fndds_food","Infant formula, NS as to form (PediaSure)","","2020-10-30"
"1097790","survey_fndds_food","Infant formula, ready-to-feed (PediaSure)","","2020-10-30"
"1097791","survey_fndds_food","Infant formula, with fiber, NS as to form (PediaSure Fiber)","","2020-10-30"
"1097792","survey_fndds_food","Infant formula, with fiber, ready-to-feed (PediaSure Fiber)","","2020-10-30"
"1097793","survey_fndds_food","Infant formula, NS as to form (Gerber Good Start Gentle)","","2020-10-30"
"1097794","survey_fndds_food","Infant formula, ready-to-feed (Gerber Good Start Gentle)","","2020-10-30"
"1097795","survey_fndds_food","Infant formula, liquid concentrate, made with water, NFS (Gerber Good Start Gentle)","","2020-10-30"
"1097796","survey_fndds_food","Infant formula, powder, made with water, NFS (Gerber Good Start Gentle)","","2020-10-30"
"1097797","survey_fndds_food","Infant formula, liquid concentrate, made with tap water (Gerber Good Start Gentle)","","2020-10-30"
"1097798","survey_fndds_food","Infant formula, liquid concentrate, made with plain bottled water (Gerber Good Start Gentle)","","2020-10-30"
"1097799","survey_fndds_food","Infant formula, liquid concentrate, made with baby water (Gerber Good Start Gentle)","","2020-10-30"
"1097800","survey_fndds_food","Infant formula, powder, made with tap water (Gerber Good Start Gentle)","","2020-10-30"
"1097801","survey_fndds_food","Infant formula, powder, made with plain bottled water (Gerber Good Start Gentle)","","2020-10-30"
"1097802","survey_fndds_food","Infant formula, powder, made with baby water (Gerber Good Start Gentle)","","2020-10-30"
"1097803","survey_fndds_food","Infant formula, NS as to form (Gerber Good Start Protect)","","2020-10-30"
"1097804","survey_fndds_food","Infant formula, powder, made with water, NFS (Gerber Good Start Protect)","","2020-10-30"
"1097805","survey_fndds_food","Infant formula, powder, made with tap water (Gerber Good Start Protect)","","2020-10-30"
"1097806","survey_fndds_food","Infant formula, powder, made with plain bottled water (Gerber Good Start Protect)","","2020-10-30"
"1097807","survey_fndds_food","Infant formula, powder, made with baby water (Gerber Good Start Protect)","","2020-10-30"
"1097808","survey_fndds_food","Infant formula, NS as to form (Gerber Graduates Gentle)","","2020-10-30"
"1097809","survey_fndds_food","Infant formula, NS as to form (Gerber Graduates Protect)","","2020-10-30"
"1097810","survey_fndds_food","Infant formula, NS as to form (Store Brand)","","2020-10-30"
"1097811","survey_fndds_food","Infant formula, liquid concentrate, made with water, NFS (Store Brand)","","2020-10-30"
"1097812","survey_fndds_food","Infant formula, powder, made with water, NFS (Store Brand)","","2020-10-30"
